"cutoff","false_reassurance","false_reassurance_upper","not_fragile_identification","not_fragile_identification_lower","fr_safety_margin","constraint_safety_margin","feasible"
33,0.594444444444444,0.621043226673447,0.941111111111111,0.926833230705941,-0.521043226673447,NA,FALSE
34,0.534444444444444,0.561649489198081,0.926666666666667,0.911059301440871,-0.461649489198081,NA,FALSE
35,0.493333333333333,0.520724002368148,0.916666666666667,0.900235349612276,-0.420724002368148,NA,FALSE
36,0.457777777777778,0.485179960077739,0.908888888888889,0.891861633693414,-0.385179960077739,NA,FALSE
37,0.423333333333333,0.450613504661131,0.905555555555556,0.888283652102265,-0.350613504661131,NA,FALSE
38,0.393333333333333,0.420397910579026,0.897777777777778,0.87995794294132,-0.320397910579026,NA,FALSE
39,0.368888888888889,0.395700031973623,0.891111111111111,0.872845215425834,-0.295700031973623,NA,FALSE
40,0.342222222222222,0.368673952370423,0.88,0.861034246206859,-0.268673952370423,NA,FALSE
41,0.3,0.325694463427784,0.862222222222222,0.84223618703483,-0.225694463427784,NA,FALSE
42,0.276666666666667,0.301835912959064,0.847777777777778,0.827041008460151,-0.201835912959064,NA,FALSE
43,0.247777777777778,0.272180966724303,0.833333333333333,0.811907123588175,-0.172180966724303,NA,FALSE
44,0.222222222222222,0.245830166314915,0.815555555555556,0.793355617931109,-0.145830166314915,NA,FALSE
45,0.208888888888889,0.23203364342153,0.807777777777778,0.785263035277915,-0.13203364342153,NA,FALSE
46,0.19,0.212426198998436,0.797777777777778,0.774877979828469,-0.112426198998436,NA,FALSE
47,0.168888888888889,0.190416151633735,0.774444444444444,0.7507260553225,-0.0904161516337349,NA,FALSE
48,0.152222222222222,0.172958991539849,0.753333333333333,0.728962332096119,-0.0729589915398485,NA,FALSE
49,0.136666666666667,0.156592195973186,0.733333333333333,0.708414206923339,-0.0565921959731856,NA,FALSE
50,0.127777777777778,0.147204001542872,0.72,0.69475078960582,-0.0472040015428724,NA,FALSE
51,0.112222222222222,0.13070357160816,0.688888888888889,0.662971773713272,-0.0307035716081605,NA,FALSE
52,0.0922222222222222,0.109331712533114,0.664444444444444,0.638096571755157,-0.00933171253311418,NA,FALSE
53,0.0844444444444444,0.100963157488235,0.644444444444444,0.617801950682447,-0.000963157488234986,NA,FALSE
54,0.0811111111111111,0.0973652520985495,0.633333333333333,0.606548785703103,0.0026347479014505,NA,FALSE
55,0.0755555555555556,0.0913521390307746,0.615555555555556,0.588574914751953,0.00864786096922544,NA,FALSE
56,0.0655555555555556,0.0804699577367502,0.592222222222222,0.565040926710431,0.0195300422632498,NA,FALSE
57,0.0577777777777778,0.0719453036146135,0.573333333333333,0.546035549918525,0.0280546963853865,NA,FALSE
58,0.05,0.0633563664457237,0.554444444444444,0.527070425541653,0.0366436335542763,NA,FALSE
59,0.04,0.052194941482869,0.522222222222222,0.494809472311223,0.047805058517131,NA,FALSE
60,0.0366666666666667,0.0484377546179424,0.486666666666667,0.459343219853929,0.0515622453820576,NA,FALSE
61,0.03,0.0408533081450238,0.457777777777778,0.430628688100941,0.0591466918549762,NA,FALSE
62,0.03,0.0408533081450238,0.433333333333333,0.406403701160604,0.0591466918549762,NA,FALSE
63,0.0255555555555556,0.0357330177477543,0.407777777777778,0.381149289837547,0.0642669822522457,NA,FALSE
64,0.0222222222222222,0.0318501554655173,0.386666666666667,0.360343522462072,0.0681498445344827,NA,FALSE
65,0.0188888888888889,0.0279218141477682,0.365555555555556,0.339590431436228,0.0720781858522318,NA,FALSE
66,0.0166666666666667,0.0252719960029715,0.345555555555556,0.319979816277627,0.0747280039970285,NA,FALSE
67,0.0133333333333333,0.0212383960900734,0.331111111111111,0.305848040823223,0.0787616039099266,NA,FALSE
68,0.0133333333333333,0.0212383960900734,0.318888888888889,0.293911678176246,0.0787616039099266,NA,FALSE
69,0.0122222222222222,0.0198745917614341,0.297777777777778,0.273342106817399,0.0801254082385659,NA,FALSE
70,0.01,0.0171102852122568,0.278888888888889,0.254991552484777,0.0828897147877432,NA,FALSE
71,0.00777777777777778,0.0142835737587846,0.248888888888889,0.225958956347081,0.0857164262412154,NA,FALSE
72,0.00666666666666667,0.0128393023148745,0.215555555555556,0.193879898584943,0.0871606976851255,NA,FALSE
73,0.00666666666666667,0.0128393023148745,0.21,0.188553650462371,0.0871606976851255,NA,FALSE
74,0.00666666666666667,0.0128393023148745,0.188888888888889,0.168372271103939,0.0871606976851255,NA,FALSE
75,0.00444444444444444,0.00986256530079993,0.174444444444444,0.154621570326321,0.0901374346992001,NA,FALSE
76,0.00444444444444444,0.00986256530079993,0.151111111111111,0.132521167521974,0.0901374346992001,NA,FALSE
77,0.00444444444444444,0.00986256530079993,0.144444444444444,0.12623513741418,0.0901374346992001,NA,FALSE
78,0.00444444444444444,0.00986256530079993,0.133333333333333,0.115789729966132,0.0901374346992001,NA,FALSE
79,0.00444444444444444,0.00986256530079993,0.131111111111111,0.113705631898386,0.0901374346992001,NA,FALSE
80,0.00333333333333333,0.00831091165453786,0.0988888888888889,0.0837044720848887,0.0916890883454621,NA,FALSE
81,0.00111111111111111,0.00496479208691582,0.0888888888888889,0.0744925402342121,0.0950352079130842,NA,FALSE
82,0.00111111111111111,0.00496479208691582,0.08,0.0663532740609511,0.0950352079130842,NA,FALSE
83,0.00111111111111111,0.00496479208691582,0.08,0.0663532740609511,0.0950352079130842,NA,FALSE
84,0.00111111111111111,0.00496479208691582,0.0744444444444444,0.061292917024084,0.0950352079130842,NA,FALSE
85,0.00111111111111111,0.00496479208691582,0.0566666666666667,0.0452682732204673,0.0950352079130842,NA,FALSE
86,0.00111111111111111,0.00496479208691582,0.0522222222222222,0.0413109034779394,0.0950352079130842,NA,FALSE
87,0.00111111111111111,0.00496479208691582,0.0522222222222222,0.0413109034779394,0.0950352079130842,NA,FALSE
88,0.00111111111111111,0.00496479208691582,0.0488888888888889,0.0383585214546507,0.0950352079130842,NA,FALSE
89,0.00111111111111111,0.00496479208691582,0.0277777777777778,0.0200857019574133,0.0950352079130842,NA,FALSE
90,0.00111111111111111,0.00496479208691582,0.0244444444444444,0.0172962920294859,0.0950352079130842,NA,FALSE
91,0.00111111111111111,0.00496479208691582,0.0244444444444444,0.0172962920294859,0.0950352079130842,NA,FALSE
92,0.00111111111111111,0.00496479208691582,0.0244444444444444,0.0172962920294859,0.0950352079130842,NA,FALSE
93,0,0.00299714948436338,0.0155555555555556,0.0100789255083384,0.0970028505156366,NA,FALSE
94,0,0.00299714948436338,0.0155555555555556,0.0100789255083384,0.0970028505156366,NA,FALSE
95,0,0.00299714948436338,0.0155555555555556,0.0100789255083384,0.0970028505156366,NA,FALSE
96,0,0.00299714948436338,0.0144444444444444,0.00920759168611737,0.0970028505156366,NA,FALSE
97,0,0.00299714948436338,0.00555555555555556,0.00270684160027052,0.0970028505156366,NA,FALSE
98,0,0.00299714948436338,0.00555555555555556,0.00270684160027052,0.0970028505156366,NA,FALSE
99,0,0.00299714948436338,0.00555555555555556,0.00270684160027052,0.0970028505156366,NA,FALSE
100,0,0.00299714948436338,0,0,0.0970028505156366,NA,FALSE
