"scenario_id","truth_class","n","design_layer","analysis_conclusion","status","overall_score","fragility_component","bootstrap_reproducibility","jackknife_stability"
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",34.0408163265306,4.08163265306122,64,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",24.0204081632653,2.04081632653061,46,73.75
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",38.0612244897959,6.12244897959184,70,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",40.0612244897959,6.12244897959184,74,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",58.265306122449,26.530612244898,90,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",40.1020408163265,10.2040816326531,70,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",36.0612244897959,6.12244897959184,66,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",45.0816326530612,8.16326530612245,82,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",35.0612244897959,6.12244897959184,64,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",29.0204081632653,2.04081632653061,56,95
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",49.1428571428571,14.2857142857143,84,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",25.0204081632653,2.04081632653061,48,68.75
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",37.0612244897959,6.12244897959184,68,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",52.1428571428571,14.2857142857143,90,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",40.1020408163265,10.2040816326531,70,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",41.0612244897959,6.12244897959184,76,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",37.0612244897959,6.12244897959184,68,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",38.0408163265306,4.08163265306122,72,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",53.1632653061224,16.3265306122449,90,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",51.1428571428571,14.2857142857143,88,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",65.3265306122449,32.6530612244898,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",71.4489795918367,44.8979591836735,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",54.1632653061224,16.3265306122449,92,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",52.1632653061224,16.3265306122449,88,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",59.2040816326531,20.4081632653061,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",65.3061224489796,30.6122448979592,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",44.1020408163265,10.2040816326531,78,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",42.0816326530612,8.16326530612245,76,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",32.0408163265306,4.08163265306122,60,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",44.0816326530612,8.16326530612245,80,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",57.2244897959184,22.4489795918367,92,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",58.2448979591837,24.4897959183673,92,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",56.2040816326531,20.4081632653061,92,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",62.2857142857143,28.5714285714286,96,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",58.2040816326531,20.4081632653061,96,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",63.265306122449,26.530612244898,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",68.3673469387755,36.734693877551,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",65.3265306122449,32.6530612244898,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",54.1632653061224,16.3265306122449,92,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",68.3673469387755,36.734693877551,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",66.3265306122449,32.6530612244898,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",64.2857142857143,28.5714285714286,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",44.1224489795918,12.2448979591837,76,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",30.0408163265306,4.08163265306122,56,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",69.3877551020408,38.7755102040816,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",44.0816326530612,8.16326530612245,80,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",38.0816326530612,8.16326530612245,68,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",25.0204081632653,2.04081632653061,48,98.75
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",49.1428571428571,14.2857142857143,84,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",43.0612244897959,6.12244897959184,80,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",62.2857142857143,28.5714285714286,96,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",49.1428571428571,14.2857142857143,84,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",65.3061224489796,30.6122448979592,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",34.0408163265306,4.08163265306122,64,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",27.0204081632653,2.04081632653061,52,49.375
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",48.1224489795918,12.2448979591837,84,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",57.2244897959184,22.4489795918367,92,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",55.1632653061224,16.3265306122449,94,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",53.1836734693878,18.3673469387755,88,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",56.1836734693878,18.3673469387755,94,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",40.0816326530612,8.16326530612245,72,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",51.1428571428571,14.2857142857143,88,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",57.2244897959184,22.4489795918367,92,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",73.469387755102,46.9387755102041,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",63.265306122449,26.530612244898,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",63.2857142857143,28.5714285714286,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",49.1428571428571,14.2857142857143,84,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",53.1836734693878,18.3673469387755,88,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",68.3877551020408,38.7755102040816,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",58.2448979591837,24.4897959183673,92,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",59.2040816326531,20.4081632653061,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",41.1020408163265,10.2040816326531,72,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",60.2448979591837,24.4897959183673,96,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",60.2244897959184,22.4489795918367,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",67.3469387755102,34.6938775510204,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",34.0612244897959,6.12244897959184,62,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",68.3673469387755,36.734693877551,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",52.1632653061224,16.3265306122449,88,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",66.3265306122449,32.6530612244898,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",63.3061224489796,30.6122448979592,96,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",41.1020408163265,10.2040816326531,72,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",61.2857142857143,28.5714285714286,94,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",55.2244897959184,22.4489795918367,88,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",76.530612244898,53.0612244897959,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",33.0408163265306,4.08163265306122,62,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",56.2040816326531,20.4081632653061,92,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",60.2448979591837,24.4897959183673,96,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",58.2244897959184,22.4489795918367,94,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",57.2448979591837,24.4897959183673,90,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",23.0408163265306,4.08163265306122,42,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",26.0408163265306,4.08163265306122,48,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",58.2244897959184,22.4489795918367,94,100
